REF,DOMN,INV,MUSEO,STAT,DENO,APPL,TITR,AUTR,ROLE,PAUT,GENRE,ECOL,ATTR,PERI,MILL,EPOQ,MILU,PEOC,GENE,HIST,LIEUX,PLIEUX,GEOHI,LOCA_PROV,PERU,DECV,PDEC,UTIL,PUTI,TECH,DIMS,INSC,PINS,ONOM,DESC,REPR,PREP,DREP,SREP,DACQ,APTN,DEPO,DDPT,ADPT,DATION,MANQUANT,MANQUANT_COM,COMM,EXPO,BIBL,DMIS,DMOIS,DMAJ,REDA,PHOT,DATA,LOCA3,IA,REFPAL,REFMEM,REFMER,REGION,DPT,VILLE_M,NOMOFF,LOCA,custom_LOCA
Référence de la notice,Domaine,Numéro d'inventaire,Lien Muséofile,Statut juridique,Dénomination,Appellation,Titre,Auteur,Rôle,Précisions sur l'auteur,Genre du ou des auteurs,École (pays),Anciennes attributions,Période de création,Millésime de création,Époque,Millésime d'utilisation,Période de l'original copié,Genèse,Historique,Lieu de création / utilisation,"Précisions sur le lieu de création, d'exécution ou d'utilisation",Lieu historique,Provenance du bien,Période d'utilisation,Découverte / collecte,Précisions sur la découverte ou la collecte,Utilisation / destination,Précisions sur l'utilisation,Matériaux et techniques,Mesures,Inscriptions,Précisions sur les inscriptions,Onomastique,Description,Sujet représenté,Précisions sur le sujet représenté,Date du sujet représenté,Source de la représentation,Date d'acquisition,Anciennes appartenances,Lieu de dépôt,Date de dépôt,Ancien dépôt,Dation,Situation particulière,Précisions sur une situation particulière,Commentaires,Exposition,Bibliographie,Date de création,Date de moissonnage de la notice,Date de mise à jour,Rédacteur de la notice,Crédits photographiques,Artiste sous droits,Année d'entrée dans le domaine public,Droits de reproduction et de représentation,Références Palissy liées,Références Mémoire liées,Références Mérimée liées,Région,Département,Ville,Nom du musée,Localisation,Lieu de conservation
M1104320170480,photographie ; arts graphiques,PH10877,M1104,,photographie (dénomination),,"Rue Frédéric-Santon, vue perspective avec Notre-Dame, 5ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,1917,,,,,,,,,,,,,,,,Hauteur 23.1 cm ; Largeur 16.9 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris;CC0 Paris Musées / Musée Carnavalet - Histoire de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320170482,photographie ; arts graphiques,PH10878,M1104,,photographie (dénomination),,"Rue Frédéric-Sauton, vue perspective vers Notre-Dame, 5ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,1917,,,,,,,,,,,,,,,,Hauteur 23.2 cm ; Largeur 17.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris;CC0 Paris Musées / Musée Carnavalet - Histoire de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320170818,photographie ; arts graphiques,PH27019,M1104,,photographie (dénomination),,"16, rue Notre-Dame des Champs, collège Stanislas. Photo de la porte ancienne. 7 novembre 1917. 6ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,,,,,,,,,,,,,,,,,Hauteur 17.4 cm ; Largeur 22.5 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320170873,photographie ; arts graphiques,PH33824,M1104,,photographie (dénomination),,"Monastère Notre-Dame-de-Charité, dit de Saint-Michel, 193 rue Saint-Jacques,5ème arrondissement, Paris.",Croegaert Georges (1848-1923),,,,,,,,,,,,,,,,,,,,,,Tirage au gélatino-bromure d’argent,Hauteur 15.7 cm ; Largeur 22.4 cm ; Hauteur 26.7 cm ; Largeur 34.5 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,Paris Musées / Musée Carnavalet - Histoire de Paris. Photo Philippe Ladet,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320170902,photographie ; arts graphiques,PH27020,M1104,,photographie (dénomination),,"20, rue Notre-Dame des Champs, collège Stanislas. Dans le jardin, porte ionique. 7 novembre 1917. 6ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,,,,,,,,,,,,,,,,,Hauteur 17 cm ; Largeur 22.8 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171115,photographie ; arts graphiques,PH32466,M1104,,photographie (dénomination),,"36 rue Notre-Dame-des-Victoires, 2ème arrondissement, Paris. Grand Hôtel de Nice.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 28.5 cm ; Largeur 22.6 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171634,photographie ; arts graphiques,PH27599,M1104,,photographie (dénomination),,"Autel de la chapelle Notre-Dame-de-Consolation, 23 rue Jean Goujon, 8ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,,,,,,,,,,,,,,,,,Hauteur 22.9 cm ; Largeur 17.1 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171700,photographie ; arts graphiques,PH36045,M1104,,photographie (dénomination),,"Bas-relief ou tombeau de Madame Ternaux, crypte de l'église d'auteuil, église Notre-Dame d'Auteuil, place d'Auteuil, 16ème arrondissement, Paris.",Desprez E. (-),,,,,,,,,,,,,,,,,,,,,,,Hauteur 17.5 cm ; Largeur 22.9 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,Paris Musées / Musée Carnavalet - Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171701,photographie ; arts graphiques,PH36044,M1104,don manuel,photographie (dénomination),,"Bas-relief ou tombeau de Madame Ternaux, crypte de l'église d'auteuil, église Notre-Dame-d'Auteuil, place d'Auteuil, 16ème arrondissement, Paris.",anonyme (-),,,,,,,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 10.4 cm ; Largeur 17.4 cm ; Hauteur 26.8 cm ; Largeur 35.4 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet – Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171774,photographie ; arts graphiques,PH24928,M1104,,photographie (dénomination),,"Buste de la Vierge par Carpeaux, église Notre-Dame d'Auteuil, place d'Auteuil, 16ème arrondissement, Paris.",Desprez E. (-),,,,,,,,,,,,,,,,,,,,,,,Hauteur 22.6 cm ; Largeur 17.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"CC0 Paris Musées / Musée Carnavalet - Histoire de Paris;CC0 Paris Musées / Musée Carnavalet, Histoire de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
